is_wr,targets,yards,avgCushion,avgIntendedAirYards,avgSeparation,avgYAC,percentShareOfIntendedAirYards,turf_percentage,total_round_trip_miles,total_snaps,avg_opponent_pass_epa,sos_win_pct,age_season_start,height,weight,forty,past_ir_count,next_season_ir,season
1,45,294,6.532195122,10.60666667,2.507047909,2.03,13.55827245,0.8125,17987.18723,597,0.05367205,0.501821513,22,72,203,,0,0,2019
1,91,779,6.527471264,13.1521978,2.085480772,2.183709677,22.17123824,0.5625,13055.6118,818,0.025489721,0.498228952,29,74,198,4.46,2,0,2019
1,118,1008,6.512982456,11.91008475,2.778384877,4.417534247,32.7018166,0.125,13440.13123,851,0.05485951,0.484174783,22,76,198,4.34,0,0,2019
1,58,296,6.4725,10.5937931,3.019892657,3.358214286,12.33022957,0.1875,15103.22834,693,0.04293604,0.536149273,29,70,191,4.39,0,0,2019
1,71,605,6.452903226,6.582676056,3.456287093,6.774897959,14.38521865,0.25,"30,810.65",435,0.04344977,0.482524671,23,70,185,4.59,0,0,2019
1,52,477,6.4464,13.76615385,2.889291723,4.119142857,14.81466151,0.3125,16682.30513,557,0.027878672,0.477734539,23,77,227,4.55,0,1,2019
1,71,584,6.443968254,10.87661972,2.955510969,5.377608696,21.06969117,0.1875,15488.31238,643,0.013195359,0.491458245,22,69,170,4.27,0,0,2019
1,48,418,6.408666667,12.706875,3.045636107,4.179333333,17.32578486,0.8125,17987.18723,542,0.05367205,0.501821513,29,74,200,4.45,0,0,2019
1,44,365,6.403,11.35772727,2.420682407,3.448333333,14.08865245,0.25,9378.526001,482,0.01133364,0.486331484,22,74,213,4.6,0,0,2019
1,47,416,6.311818182,11.00042553,3.028028628,3.4603125,9.712068046,0.3125,17539.3791,522,-0.017665174,0.468979779,27,75,195,4.55,1,0,2019
1,134,1161,6.296585366,7.221492537,3.387731481,5.957446809,20.36385063,0.1875,22213.65715,884,0.010838929,0.5195635,26,74,208,4.62,1,0,2019
1,97,678,6.281392405,8.861958763,2.95204081,3.641935484,15.92398221,0.5625,13055.6118,642,0.025489721,0.498228952,33,71,185,4.58,1,0,2019
1,110,1057,6.265555556,12.81881818,3.236131614,3.987926829,30.08970983,0.5625,35553.16235,1104,0.005700142,0.530688616,26,70,182,4.4,1,0,2019
1,55,561,6.264230769,10.68127273,2.663382771,3.734,12.93001369,0.1875,14809.98987,715,0.006193194,0.534399725,27,73,202,4.38,0,0,2019
1,43,326,6.262857143,11.25186047,2.673933957,6.886666667,10.18171487,0.1875,22213.65715,480,0.010838929,0.5195635,24,75,196,4.52,0,0,2019
1,83,828,6.224383562,9.529638554,3.032001076,6.223636364,14.47650423,0.75,18251.1564,720,0.041035194,0.461345997,29,70,192,4.46,1,1,2019
0,43,321,6.208965517,5.886744186,3.592003703,5.249354839,6.906364507,0.1875,15488.31238,795,0.013195359,0.491458245,26,76,270,5.04,0,1,2019
1,101,660,6.206666667,6.970693069,3.196159724,4.883030303,16.38220491,0.125,13440.13123,747,0.05485951,0.484174783,25,72,176,4.39,1,1,2019
1,80,735,6.169230769,15.596375,2.532039496,4.838863636,33.03240735,0.0625,15126.08471,634,0.011821044,0.485769801,23,71,213,4.54,0,0,2019
1,72,583,6.161666667,13.83958333,3.111044564,4.089285714,20.96928629,0.1875,22213.65715,701,0.010838929,0.5195635,25,70,183,4.33,1,0,2019
1,109,804,6.151442308,7.485412844,2.975833333,5.050933333,21.61511317,0.1875,21850.53193,887,0.004881634,0.51565725,36,75,218,4.48,0,0,2019
1,106,778,6.104086022,7.620283019,3.174772846,5.320746269,17.92387098,0.6875,11158.06649,783,0.019048922,0.460574374,30,68,174,4.49,0,0,2019
1,92,680,6.091304348,8.977282609,3.621548229,5.062881356,21.86549403,0.0625,15126.08471,652,0.011821044,0.485769801,23,70,181,4.53,0,0,2019
1,68,501,6.085373134,10.19705882,3.009626716,4.802,17.61293207,0.625,11926.73936,478,0.052795835,0.491987283,29,70,183,4.34,0,0,2019
0,97,854,6.062615385,10.83969072,2.982031155,4.895396825,28.68761886,0.1875,15488.31238,503,0.013195359,0.491458245,23,76,255,4.67,0,0,2019
1,122,833,6.047029703,7.933852459,3.028693984,4.718076923,24.1320678,0.5625,6786.4375,802,0.005515216,0.457261029,26,69,177,4.56,0,0,2019
1,108,709,6.046354167,9.481018519,3.455413137,4.406029412,27.12651534,0.1875,21850.53193,791,0.004881634,0.51565725,22,71,200,4.47,1,0,2019
0,89,734,5.981384615,6.472921348,3.681872099,6.08884058,12.12323362,0.1875,22213.65715,696,0.010838929,0.5195635,26,78,257,4.77,0,0,2019
1,48,353,5.960425532,11.54958333,3.148719228,2.910344828,12.47794224,0.125,12475.30377,445,0.033500705,0.495241819,28,67,167,4.4,0,0,2019
1,44,358,5.945365854,8.679772727,2.905144014,4.133,12.54302417,0.125,28523.45548,527,0.03880248,0.526458367,24,73,203,4.68,0,0,2019
1,69,645,5.939375,16.08173913,2.621448716,4.228055556,17.37967328,0.25,15718.19533,645,0.061617047,0.487538162,25,74,215,4.19,1,0,2019
1,69,363,5.895076923,10.79913043,3.403384954,3.917692308,15.28166299,0.3125,10341.24902,690,0.044405393,0.456843522,26,72,198,4.42,0,0,2019
0,135,916,5.87920354,8.681555556,2.719924557,3.230909091,24.03610307,0.3125,10341.24902,988,0.044405393,0.456843522,28,77,250,4.76,0,1,2019
0,68,467,5.871754386,5.998676471,3.069753624,5.955227273,8.360284804,0.6875,8054.165942,444,0.02881312,0.456520629,24,75,240,4.42,0,0,2019
1,45,216,5.869318182,11.19822222,3.045900449,2.859259259,11.18192147,0.25,"30,810.65",630,0.04344977,0.482524671,24,74,200,4.45,0,0,2019
1,89,860,5.86925,12.5788764,3.209023802,4.874655172,23.8589163,0.5625,13548.70984,750,0.006781403,0.5243627,25,70,185,4.29,0,0,2019
0,44,439,5.856774194,4.8425,3.658182544,8.378,5.621410273,0.125,14043.33279,853,0.044406664,0.529395923,24,75,248,4.62,1,0,2019
