is_wr,recTouchdowns,receptions,targets,yards,avgCushion,avgExpectedYAC,avgIntendedAirYards,avgSeparation,avgYAC,avgYACAboveExpectation,catchPercentage,percentShareOfIntendedAirYards,turf_percentage,total_round_trip_miles,total_snaps,avg_opponent_pass_epa,sos_win_pct,age_season_start,height,weight,forty,past_ir_count,next_season_ir
1,4,41,71,737,4.721267606,4.109941086,13.99746479,2.107671167,7.077317073,2.967375987,57.74647887,22.90045026,0.6875,18869.44337,633,0.004994475,0.512246981,27,75,225,4.52,0,1
1,9,125,147,1405,4.635034483,3.2491604,7.714353741,2.748359542,4.08832,0.8391596,85.03401361,30.27239577,0.75,15119.37179,1060,0.045319427,0.516416462,28,70,195,4.57,2,0
1,4,42,84,704,4.624819277,3.555168799,14.365,2.163073669,4.407857143,0.852688344,50,27.59410824,0.125,15500.69311,819,0.031874347,0.504024499,22,75,216,4.54,0,0
0,5,34,48,565,4.544857143,4.99017386,11.149375,2.500796986,6.884705882,1.894532022,70.83333333,8.1083538,0.3125,11937.85766,435,0.056278113,0.508833742,23,78,251,4.51,1,0
0,2,28,45,333,4.449473684,4.675236958,8.789333333,2.464236806,4.533214286,-0.142022672,62.22222222,9.805729926,0.125,29416.74184,441,0.024343356,0.485303673,38,76,255,4.87,1,0
1,6,46,77,694,4.395657895,3.657494254,12.71272727,2.028803888,4.258913043,0.601418789,59.74025974,22.15653166,0.625,8279.790101,458,0.033791225,0.516237745,30,76,210,4.48,1,1
1,5,35,62,508,3.965645161,2.085334203,15.24306452,2.216704545,3.104571429,1.019237225,56.4516129,23.64643566,0.6875,14427.63533,538,0.007231946,0.489057931,28,74,198,4.46,1,1
1,7,63,93,866,7.396222222,2.570271525,13.46569892,2.874055456,2.346825397,-0.223446128,67.74193548,23.32239513,0.6875,13627.09298,712,0.018785335,0.531477092,24,73,190,4.43,0,0
1,2,90,139,1134,7.317022901,5.616025151,8.099280576,3.407958006,6.718333333,1.102308183,64.74820144,23.69132672,0.1875,22213.65715,986,0.010838929,0.5195635,27,72,193,4.51,1,0
1,2,43,69,601,7.209402985,3.327346876,12.26333333,2.712406234,4.902325581,1.574978706,62.31884058,22.32444141,0.125,14043.33279,859,0.044406664,0.529395923,24,75,209,,0,0
