Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2010,Panthers,,steve justice,placed on ir,,,,9/4/2010,
2010,Panthers,,wallace wright,placed on ir,,,,9/4/2010,
2010,Patriots,,brandon mcgowan,placed on ir with chest injury,,,,9/4/2010,
2010,Patriots,,kade weston,placed on ir,,,,9/4/2010,
2010,Patriots,,leigh bodden,placed on ir,,,,9/4/2010,
2010,Patriots,,ty warren,placed on ir,,,,9/4/2010,
2010,Raiders,,charlie frye,placed on ir,,,,9/4/2010,
2010,Raiders,,jonathan holland,placed on ir,,,,9/4/2010,
2010,Rams,,chris hovan,placed on ir,,,,9/4/2010,
2010,Rams,,eric young,placed on ir with knee injury,,,,9/4/2010,
2010,Rams,,kevin payne,placed on ir with knee injury,,,,9/4/2010,
2010,Rams,,phil trautwein,placed on ir,,,,9/4/2010,
2010,Ravens,,daniel sanders,placed on ir,,,,9/4/2010,
2010,Ravens,,david hale,placed on ir with back injury,,,,9/4/2010,
2010,Ravens,,domonique foxworth,placed on ir,,,,9/4/2010,
2010,Ravens,,kelly talavou,placed on ir with knee injury,,,,9/4/2010,
2010,Ravens,,marcus paschal,placed on ir,,,,9/4/2010,
2010,Ravens,,ramon harewood,placed on ir with knee injury,,,,9/4/2010,
2010,Ravens,,stefan rodgers,placed on ir with ankle injury,,,,9/4/2010,
2010,Redskins,,mike furrey,placed on ir,,,,9/4/2010,
2010,Saints,,jonathan casillas,placed on ir with foot injury,,,,9/4/2010,
2010,Saints,,lynell hamilton,placed on ir,,,,9/4/2010,
2010,Saints,,marcus mailei,placed on ir,,,,9/4/2010,
2010,Saints,,pj hill,placed on ir,,,,9/4/2010,
2010,Seahawks,,anthony heygood,placed on ir,,,,9/4/2010,
2010,Seahawks,,isaiah stanback,placed on ir,,,,9/4/2010,
2010,Seahawks,,jameson konz,placed on ir,,,,9/4/2010,
2010,Seahawks,,ray willis,placed on ir with knee injury,,,,9/4/2010,
2010,Steelers,,limas sweed,placed on ir,,,,9/4/2010,
2010,Steelers,,tuff harris,placed on ir,,,,9/4/2010,
