Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2010,Packers,,brady poppinga,placed on ir with knee injury,,,,10/26/2010,
2010,Packers,,mike neal,placed on ir with shoulder injury,,,,10/26/2010,
2010,Packers,,brad jones edward,placed on ir with right shoulder injury,,,,10/27/2010,
2010,Panthers,,jamar williams,placed on ir with neck injury,,,,10/27/2010,
2010,Rams,,clifton ryan,placed on ir with migraine headaches,,,,10/27/2010,
2010,Falcons,,robert agnone  robbie agnone,placed on ir with foot injury (out for season),,,,10/28/2010,
2010,Giants,,mathias kiwanuka,placed on ir with neck injury,,,,10/28/2010,
2010,Dolphins,,deon anderson,placed on ir with triceps injury,,,,10/30/2010,
2010,Lions,,zack follett,placed on ir with neck injury,,,,10/31/2010,
2010,49ers,,eric heitmann,placed on ir with neck injury,,,,11/1/2010,
2010,Giants,,bruce johnson b 1987-02-18,placed on ir with knee injury,,,,11/1/2010,
2010,Buccaneers,,brian price larisso,placed on ir with pelvis injury,,,,11/2/2010,
2010,Chargers,,craig davis  buster davis,placed on ir with groin injury,,,,11/2/2010,
2010,Seahawks,,ben hamilton,placed on ir with concussion,,,,11/2/2010,
2010,Seahawks,,joseph bryant  red bryant,placed on ir with knee injury,,,,11/2/2010,
2010,Bills,,cornell green duane,placed on ir with knee injury,,,,11/3/2010,
2010,Patriots,,darnell jenkins,placed on ir (e),,,,11/3/2010,
2010,Titans,,jamie winborn,placed on ir with shoulder injury,,,,11/3/2010,
2010,Colts,,anthony gonzalez,placed on ir with knee injury,,,,11/6/2010,
2010,Bills,,andra davis,placed on ir with shoulder injury,,,,11/8/2010,
2010,Bills,,roscoe parrish,placed on ir with fractured left wrist,,,,11/8/2010,
2010,Panthers,,thomas davis,placed on ir with torn acl in right knee,,,,11/8/2010,
2010,Redskins,,chris horton,placed on ir with right ankle injury,,,,11/8/2010,
2010,Cardinals,,kenny iwebema,placed on ir with knee injury,,,,11/9/2010,
2010,Giants,,adam koets,placed on ir with torn acl in left knee,,,,11/9/2010,
2010,Panthers,,dan connor murphy,placed on ir with hip injury,,,,11/9/2010,
2010,Panthers,,jeff otah,placed on ir with knee injury,,,,11/9/2010,
2010,Panthers,,matt moore,placed on ir with right shoulder injury,,,,11/9/2010,
2010,Cowboys,,akwasi owusu-ansah,placed on ir with ankle injury,,,,11/10/2010,
2010,Cowboys,,marcus spears rayshon,placed on ir with calf injury,,,,11/10/2010,
2010,Patriots,,stephen gostkowski,placed on ir with thigh injury,,,,11/10/2010,
2010,Steelers,,max starks,placed on ir with neck injury,,,,11/10/2010,
2010,Texans,,dominique barber,placed on ir with knee injury,,,,11/11/2010,
2010,Packers,,mark tauscher,placed on ir with shoulder injury,,,,11/12/2010,
2010,Bengals,,andre smith dewayne,placed on ir with foot injury,,,,11/13/2010,
2010,Jaguars,,aaron kampman,placed on ir with knee injury (surgery),,,,11/13/2010,
2010,Texans,,karl paymah,placed on ir with wrist injury,,,,11/13/2010,
2010,Bengals,,mike nugent,placed on ir with torn acl in right knee,,,,11/15/2010,
2010,Bengals,,morgan trent,placed on ir with knee injury,,,,11/15/2010,
2010,Browns,,billy yates,placed on ir with biceps injury,,,,11/16/2010,
2010,Dolphins,,chad pennington,placed on ir with right shoulder injury,,,,11/16/2010,
2010,Giants,,ramses barden,"placed on ir with left leg, foot injury",,,,11/16/2010,
2010,Rams,,fendi onobun,placed on ir with back injury,,,,11/16/2010,
2010,Cardinals,,brandon keith,placed on ir with knee injury,,,,11/17/2010,
2010,Chiefs,,mark simoneau,placed on ir,,,,11/17/2010,
2010,Lions,,jack williams b,placed on ir with knee injury,,,,11/17/2010,
2010,Panthers,,deangelo williams,placed on ir with foot injury,,,,11/17/2010,
2010,Dolphins,,cory procter,placed on ir with torn acl in left knee,,,,11/19/2010,
2010,Saints,,jason kyle,placed on ir with shoulder injury,,,,11/20/2010,
2010,Bengals,,jonathan fanene,placed on ir with hamstring injury,,,,11/21/2010,
2010,Bengals,,chris crocker,placed on ir with torn mcl in right knee,,,,11/22/2010,
2010,Bengals,,frostee rucker,placed on ir with knee injury,,,,11/22/2010,
2010,Lions,,kevin smith ryan,placed on ir with thumb injury,,,,11/22/2010,
2010,Redskins,,chad simpson,placed on ir with foot injury,,,,11/22/2010,
2010,Saints,,stanley arnoux,placed on ir with achilles tendon injury,,,,11/22/2010,
2010,Bengals,,terry johnson  tank johnson,placed on ir with right knee injury,,,,11/23/2010,
2010,Browns,,blake costanzo,placed on ir with groin injury,,,,11/23/2010,
2010,Cardinals,,will davis,placed on ir with fractured left fibula,,,,11/23/2010,
2010,Colts,,chip vaughn,placed on ir with left foot/ankle injury,,,,11/23/2010,
2010,Eagles,,ellis hobbs,placed on ir with neck injury,,,,11/23/2010,
2010,Redskins,,anderson russell,placed on ir with torn acl,,,,11/23/2010,
2010,Titans,,vince young,placed on ir with right thumb injury,,,,11/23/2010,
2010,Giants,,madison hedgecock,placed on ir with hamstring injury,,,,11/24/2010,
2010,Raiders,,trevor scott,placed on ir with torn acl in left knee,,,,11/24/2010,
2010,Vikings,,anthony herrera,placed on ir with torn acl in left knee,,,,11/24/2010,
2010,Redskins,,clinton portis,placed on ir with groin injury,,,,11/25/2010,
2010,Seahawks,,anthony mccoy,placed on ir with knee injury,,,,11/26/2010,
2010,Bills,,keith ellison,placed on ir with knee injury,,,,11/27/2010,
2010,Bills,,shawne merriman,placed on ir with calf / achilles tendon injury,,,,11/27/2010,
2010,49ers,,dominique zeigler,placed on ir with knee injury,,,,11/30/2010,
2010,49ers,,frank gore sr,placed on ir with right hip injury,,,,11/30/2010,
2010,Buccaneers,,cody grimm,placed on ir with fibula injury,,,,11/30/2010,
2010,Buccaneers,,davin joseph,placed on ir with fractured foot,,,,11/30/2010,
2010,Buccaneers,,kyle moore b 1986-10-25,placed on ir with shoulder injury,,,,11/30/2010,
2010,Packers,,brandon chillar,placed on ir with shoulder injury,,,,11/30/2010,
2010,Packers,,spencer havner,placed on ir with hamstring injury,,,,11/30/2010,
2010,Colts,,cody glenn,placed on ir with neck injury,,,,12/1/2010,
2010,Texans,,torri williams,placed on ir with hamstring injury,,,,12/1/2010,
2010,Bengals,,antwan odom,placed on ir with wrist injury,,,,12/2/2010,
2010,Bills,,dwan edwards,placed on ir with hamstring injury,,,,12/2/2010,
2010,Bills,,reggie torbor,placed on ir with shoulder injury,,,,12/2/2010,
2010,Jaguars,,jacob cutrera,placed on ir with concussion,,,,12/2/2010,
2010,Lions,,jason hanson,placed on ir with right knee injury,,,,12/2/2010,
2010,Patriots,,stephen neal,placed on ir with shoulder injury,,,,12/2/2010,
2010,Raiders,,bruce gradkowski,placed on ir with right shoulder injury,,,,12/2/2010,
2010,Cowboys,,sean lissemore,placed on ir with ankle injury,,,,12/3/2010,
2010,Panthers,,tony pike,placed on ir with shoulder injury,,,,12/3/2010,
2010,Jets,,jim leonhard andrew,placed on ir with fractured leg,,,,12/4/2010,
2010,Bills,,antonio coleman,placed on ir with knee injury,,,,12/6/2010,
2010,Broncos,,dan gronkowski,placed on ir with ankle injury,,,,12/6/2010,
2010,Broncos,,joe mays,placed on ir with left knee injury,,,,12/6/2010,
2010,Bills,,kraig urbik,placed on ir with knee injury,,,,12/7/2010,
2010,Buccaneers,,aqib talib,placed on ir with hip injury,,,,12/7/2010,
2010,Buccaneers,,jeff faine,placed on ir with quadriceps injury,,,,12/7/2010,
2010,Cardinals,,max hall,placed on ir with left shoulder injury,,,,12/7/2010,
2010,Colts,,jerraud powers,placed on ir with forearm injury,,,,12/7/2010,
2010,Dolphins,,al harris b 1974-12-07,placed on ir with hamstring injury,,,,12/7/2010,
2010,Rams,,na'il diggs,placed on ir with pectoral muscle injury,,,,12/7/2010,
2010,Steelers,,daniel sepulveda  dan sepulveda,placed on ir with torn acl in right knee,,,,12/7/2010,
2010,Texans,,jesse nading,placed on ir with knee injury,,,,12/7/2010,
2010,Bengals,,brandon ghee,placed on ir with groin injury,,,,12/8/2010,
2010,Chiefs,,jackie bates,placed on ir with knee injury,,,,12/8/2010,
2010,Colts,,demond bob sanders,placed on ir with biceps injury,,,,12/8/2010,
2010,Cowboys,,dez bryant,placed on ir with ankle/fibula injury,,,,12/8/2010,
2010,Lions,,alphonso smith,placed on ir with right shoulder injury,,,,12/8/2010,
2010,Lions,,kyle vanden bosch,placed on ir with neck injury,,,,12/8/2010,
2010,Saints,,ladell betts,placed on ir with neck injury,,,,12/8/2010,
2010,Vikings,,albert young,placed on ir with knee injury,,,,12/8/2010,
2010,Bengals,,rico murray,placed on ir with ankle injury,,,,12/10/2010,
2010,Jaguars,,kevin haslam,placed on ir with hand injury,,,,12/10/2010,
2010,Lions,,derrick williams b,placed on ir with right ankle injury,,,,12/10/2010,
2010,Dolphins,,brian hartline,placed on ir with finger injury,,,,12/11/2010,
2010,Lions,,isaiah ekejiuba,placed on ir with knee injury,,,,12/11/2010,
2010,Bengals,,chinedum ndukwe  nedu ndukwe,placed on ir with knee injury,,,,12/13/2010,
2010,Broncos,,kyle mccarthy,placed on ir with knee injury,,,,12/13/2010,
2010,Buccaneers,,gerald mccoy,placed on ir with torn right biceps,,,,12/13/2010,
2010,Buccaneers,,quincy black,placed on ir with fractured arm,,,,12/13/2010,
2010,Titans,,eugene amano,placed on ir with shoulder / neck injury,,,,12/13/2010,
2010,Bills,,lee evans,placed on ir with ankle injury,,,,12/14/2010,
2010,Dolphins,,vernon carey,placed on ir with knee injury,,,,12/14/2010,
2010,Eagles,,brandon graham,placed on ir with torn acl in right knee,,,,12/14/2010,
2010,Lions,,brandon mcdonald,placed on ir with forearm injury,,,,12/14/2010,
2010,Panthers,,everette brown,placed on ir with wrist injury,,,,12/14/2010,
2010,Panthers,,jason williams,placed on ir with torn acl in left knee,,,,12/14/2010,
2010,Panthers,,travelle wharton,placed on ir with toe injury,,,,12/14/2010,
2010,Redskins,,laron landry,placed on ir with achilles injury,,,,12/14/2010,
2010,Seahawks,,vincent deon butler,placed on ir with right leg (fibula) injury,,,,12/14/2010,
2010,Vikings,,chris cook a,placed on ir with knee injury,,,,12/14/2010,
2010,Cowboys,,kevin ogletree,placed on ir with toe injury,,,,12/15/2010,
2010,Giants,,clint sintim,placed on ir with torn acl in right knee,,,,12/15/2010,
2010,Lions,,gosder cherilus,placed on ir with knee injury,,,,12/15/2010,
2010,Patriots,,jonathan wilhite,placed on ir with hip injury,,,,12/15/2010,
2010,Texans,,david anderson,placed on ir with shoulder injury,,,,12/15/2010,
2010,Texans,,mario williams,placed on ir with sports hernia,,,,12/15/2010,
2010,Texans,,mike brisiel,placed on ir with shoulder injury,,,,12/15/2010,
2010,Titans,,robert tony brown,placed on ir with knee injury,,,,12/15/2010,
2010,Chargers,,pat watkins,placed on ir with knee injury,,,,12/16/2010,
2010,Giants,,steve smith b 1985-05-06,placed on ir with left knee injury,,,,12/16/2010,
2010,Vikings,,tarvaris jackson,placed on ir with toe injury,,,,12/16/2010,
2010,Jaguars,,terrence wheatley,placed on ir with hamstring injury,,,,12/17/2010,
2010,Titans,,dave ball,"placed on ir with concussion, hip injury",,,,12/17/2010,
2010,Titans,,ryan mouton,placed on ir with ankle / hamstring injury,,,,12/17/2010,
2010,49ers,,joe nedney,placed on ir with right knee injury,,,,12/18/2010,
2010,49ers,,travis laboy,placed on ir with knee injury,,,,12/18/2010,
2010,Packers,,anthony smith b,placed on ir with ankle injury,,,,12/18/2010,
2010,Seahawks,,roy lewis a,placed on ir with knee injury,,,,12/20/2010,
2010,Vikings,,steve hutchinson,placed on ir with thumb injury,,,,12/20/2010,
2010,Bengals,,terrell owens,placed on ir with left knee injury,,,,12/21/2010,
2010,Browns,,eric wright,placed on ir with knee injury,,,,12/21/2010,
2010,Browns,,scott fujita,placed on ir with knee injury,,,,12/21/2010,
2010,Cowboys,,tony romo ramiro,placed on ir with left shoulder injury,,,,12/21/2010,
2010,Eagles,,nate allen b,placed on ir with knee injury,,,,12/21/2010,
2010,Rams,,brit miller,placed on ir with torn acl in right knee,,,,12/21/2010,
2010,Redskins,,ma'ake kemoeatu,placed on ir with shoulder injury,,,,12/21/2010,
2010,Redskins,,phillip daniels,"placed on ir with abdominal, groin injuries",,,,12/21/2010,
2010,Broncos,,spencer larsen,placed on ir with ankle injury,,,,12/22/2010,
2010,Browns,,evan moore,placed on ir with hip injury,,,,12/22/2010,
2010,Cardinals,,early doucet,placed on ir with hip injury,,,,12/22/2010,
2010,Colts,,austin collie,placed on ir with concussion,,,,12/22/2010,
2010,Seahawks,,derek walker,placed on ir with undisclosed injury,,,,12/22/2010,
2010,Broncos,,matt prater,placed on ir with right groin injury,,,,12/23/2010,
2010,Eagles,,jorrick calvin,placed on ir with back injury,,,,12/23/2010,
2010,Seahawks,,junior siavii,placed on ir with neck injury,,,,12/23/2010,
2010,Lions,,matthew stafford,placed on ir with separated right shoulder,,,,12/24/2010,
2010,Redskins,,kedric golston,placed on ir with groin injury,,,,12/25/2010,
2010,Broncos,,lee robinson,placed on ir with hamstring injury,,,,12/27/2010,
2010,Buccaneers,,arrelious benn,placed on ir with torn acl in left knee,,,,12/27/2010,
2010,Bengals,,brian leonard,placed on ir with ankle injury,,,,12/28/2010,
2010,Bills,,cordaro howard  cord howard,placed on ir with shoulder injury,,,,12/28/2010,
2010,Falcons,,shann schillinger,placed on ir with ankle injury,,,,12/28/2010,
2010,Eagles,,jeff owens,placed on ir with ruptured patella tendon in knee,,,,12/29/2010,
2010,Ravens,,morgan cox,placed on ir with left knee injury,,,,12/29/2010,
2010,Redskins,,kareem moore,placed on ir with knee injury,,,,12/29/2010,
2010,Saints,,courtney roby,placed on ir with concussion,,,,12/29/2010,
2010,Texans,,darryl sharpton,placed on ir with shoulder injury,,,,12/29/2010,
2010,Chargers,,antonio gates,placed on ir with foot/toe injury,,,,12/30/2010,
2010,Giants,,will blackmon,placed on ir with knee injury,,,,12/30/2010,
2010,Jaguars,,david garrard,placed on ir with right finger injury,,,,12/30/2010,
2010,Lions,,landon johnson,placed on ir with neck injury / concussion,,,,12/30/2010,
2010,Chargers,,mike tolbert,"placed on ir with neck, shoulder injuries",,,,12/31/2010,
2010,Chargers,,stephen cooper,placed on ir with knee injury,,,,12/31/2010,
2010,Cowboys,,leon williams e'srom,placed on ir with hamstring injury,,,,12/31/2010,
2010,Cowboys,,sam hurd,placed on ir with head injury / concussion,,,,12/31/2010,
2010,Packers,,marshall newhouse,placed on ir with back injury (out for season),,,,12/31/2010,
2010,Vikings,,madieu williams,placed on ir with concussion,,,,12/31/2010,
2010,Dolphins,,karlos dansby,placed on ir with toe injury,,,,1/1/2011,
2010,Panthers,,tony fiammetta,placed on ir with ankle injury,,,,1/1/2011,
2010,Vikings,,tyrell johnson,placed on ir with knee injury,,,,1/1/2011,
2010,Patriots,,ron brace,placed on ir with elbow injury,,,,1/3/2011,
2010,Seahawks,,chester pitts,placed on ir with concussion,,,,1/4/2011,
2010,Seahawks,,chris baker t,placed on ir with hip injury,,,,1/4/2011,
2010,Chiefs,,donald washington,placed on ir with ankle injury,,,,1/5/2011,
2010,Saints,,chris ivory,placed on ir with left foot injury,,,,1/5/2011,
2010,Saints,,pierre thomas,placed on ir with ankle injury,,,,1/5/2011,
2010,Patriots,,mike wright c,placed on ir with concussion,,,,1/7/2011,
2010,Colts,,kelvin hayden,placed on ir with neck injury,,,,1/8/2011,
2010,Jets,,damien woody,placed on ir with torn left achilles tendon,,,,1/12/2011,
2010,Steelers,,maurkice pouncey,placed on ir with left ankle injury,,,,2/5/2011,
2011,Giants,,martell mallett,placed on ir,,,,8/2/2011,
2011,Saints,,jeremiha hunter,placed on ir with achilles tendon injury,,,,8/2/2011,
2011,Browns,,reggie hodges,placed on ir with achilles tendon injury,,,,8/3/2011,
2011,Eagles,,victor abiamiri,placed on ir with torn achilles tendon,,,,8/4/2011,
2011,Lions,,jack williams b,placed on ir,,,,8/4/2011,
2011,Titans,,ryan mouton,placed on ir with torn right achilles tendon,,,,8/4/2011,
2011,Lions,,brandon stephens b,placed on ir,,,,8/5/2011,
2011,49ers,,curtis holcomb,placed on ir with ruptured achilles tendon,,,,8/6/2011,
2011,49ers,,dontavia bogan,placed on ir with torn acl in right knee,,,,8/6/2011,
2011,Bills,,domonic cook,placed on ir with knee injury,,,,8/6/2011,
2011,Chargers,,patrick dimarco,placed on ir,,,,8/6/2011,
2011,Giants,,bruce johnson b 1987-02-18,placed on ir,,,,8/6/2011,
2011,Steelers,,erik clanton,placed on ir,,,,8/6/2011,
2011,Titans,,orentha murdock  oj murdock,placed on ir with achilles tendon injury,,,,8/6/2011,
2011,Broncos,,mario fannin,placed on ir with knee injury,,,,8/7/2011,
2011,Cowboys,,billy blackard,placed on ir,,,,8/7/2011,
2011,Patriots,,kyle hix,placed on ir with undisclosed injury,,,,8/7/2011,
2011,Panthers,,kelvin smith vincent,placed on ir,,,,8/8/2011,
2011,Cardinals,,brad thorson,placed on ir,,,,8/9/2011,
2011,Colts,,rob myers,placed on ir,,,,8/9/2011,
2011,Jaguars,,kevin haslam,placed on ir with torn mcl in knee,,,,8/9/2011,
2011,Colts,,james williams g,placed on ir with undisclosed injury,,,,8/10/2011,
2011,Colts,,kole heckendorf,placed on ir,,,,8/10/2011,
2011,Lions,,maurice leggett,placed on ir,,,,8/10/2011,
2011,Raiders,,derrick jones b 1986-01-23,placed on ir with achilles tendon injury,,,,8/10/2011,
2011,Panthers,,ron edwards,placed on ir with triceps injury,,,,8/11/2011,
2011,Rams,,chris smith b 1987-06-23,placed on ir,,,,8/11/2011,
2011,Steelers,,adam mims,placed on ir,,,,8/11/2011,
2011,Buccaneers,,raymond webber,placed on ir with hamstring injury,,,,8/12/2011,
2011,Lions,,jeff maddux,placed on ir,,,,8/12/2011,
2011,Lions,,mikel leshoure,placed on ir with torn left achilles tendon,,,,8/14/2011,
2011,Cowboys,,alex ibiloye,placed on ir,,,,8/15/2011,
2011,Cowboys,,titus ryan,placed on ir,,,,8/15/2011,
2011,Eagles,,brandon collier,placed on ir,,,,8/15/2011,
2011,Jets,,taylor boggs,placed on ir with torn acl in knee,,,,8/15/2011,
2011,Broncos,,derek domino,placed on ir with undisclosed injury,,,,8/16/2011,
2011,Broncos,,mark dell,placed on ir with knee injury,,,,8/16/2011,
2011,Seahawks,,caz piurowski,placed on ir,,,,8/16/2011,
2011,Steelers,,ra'shon harris  sunny harris,placed on ir,,,,8/16/2011,
2011,Cowboys,,dominique edison,placed on ir,,,,8/17/2011,
2011,Giants,,cary harris,placed on ir,,,,8/17/2011,
2011,Giants,,samuel giguere  sam giguere,placed on ir,,,,8/17/2011,
2011,Cowboys,,alex daniels,placed on ir,,,,8/18/2011,
2011,Cowboys,,ross weaver,placed on ir,,,,8/18/2011,
2011,Giants,,woodny turenne,placed on ir,,,,8/18/2011,
2011,Lions,,randy phillips,placed on ir with shoulder injury,,,,8/18/2011,
2011,Patriots,,christian cox,placed on ir with neck injury,,,,8/18/2011,
2011,Saints,,alex barron,placed on ir with knee injury,,,,8/18/2011,
2011,Steelers,,limas sweed,placed on ir,,,,8/18/2011,
2011,Rams,,eddie wide,placed on ir with shoulder injury,,,,8/19/2011,
2011,Bills,,danny batten,placed on ir,,,,8/22/2011,
2011,Bills,,marcus easley,placed on ir,,,,8/22/2011,
2011,Buccaneers,,ej wilson,placed on ir with ruptured achilles tendon,,,,8/22/2011,
2011,Chargers,,stephen cooper,placed on ir with biceps injury,,,,8/22/2011,
2011,Colts,,jaimie thomas,placed on ir with back injury,,,,8/22/2011,
2011,Vikings,,scott kooistra,placed on ir with neck injury,,,,8/22/2011,
2011,Broncos,,richard quinn,placed on ir with knee injury,,,,8/23/2011,
2011,Giants,,terrell thomas,placed on ir with torn acl in right knee,,,,8/23/2011,
2011,Jaguars,,terrell whitehead,placed on ir,,,,8/23/2011,
2011,Patriots,,bret lockett,placed on ir with groin injury,,,,8/23/2011,
2011,Giants,,brian witherspoon,placed on ir with torn acl in knee,,,,8/24/2011,
2011,Jaguars,,terrell whitehead,placed on ir with right shoulder injury,,,,8/24/2011,
2011,Ravens,,marcus paschal,placed on ir with quadriceps injury,,,,8/24/2011,
2011,Texans,,trindon holliday,placed on ir,,,,8/24/2011,
2011,Bills,,reggie torbor,placed on ir with shoulder injury,,,,8/25/2011,
