Season,Team,Acquired,Relinquished,Notes,,,,Date
2010,Texans,,• Kris Brown,placed on ir with foot injury,,,,9/4/2010
2010,Texans,,• Tim Bulman,placed on ir,,,,9/4/2010
2010,Texans,,• Trey Stross,placed on ir,,,,9/4/2010
2010,Titans,,• Dominique Lindsay,placed on ir,,,,9/4/2010
2010,Titans,,• Kareem Brown,placed on ir,,,,9/4/2010
2010,Titans,,• Marcus Howard,placed on ir,,,,9/4/2010
2010,Titans,,• Mike Rivera,placed on ir,,,,9/4/2010
2010,Titans,,• Roderick Hood / Rod Hood,placed on ir,,,,9/4/2010
2010,Titans,,• Stafon Johnson,placed on ir,,,,9/4/2010
2010,Vikings,,• Jaymar Johnson,placed on ir with fractured left thumb,,,,9/4/2010
2010,Vikings,,• Jeremy Leman / J Leman,placed on ir,,,,9/4/2010
2010,Panthers,,• Aaron Francisco,placed on ir with hamstring injury,,,,9/4/2010
2010,Cardinals,,• Dean Muhtadi,placed on ir,,,,9/4/2010
2010,Bengals,,• Cordera Eason,placed on ir,,,,9/4/2010
2010,Bears,,• Woodny Turenne,placed on ir,,,,9/5/2010
2010,Bengals,,• Taufui Vakapuna / Fui Vakapuna,placed on ir with shoulder injury,,,,9/5/2010
2010,Bills,,• Derek Schouman,placed on ir with knee injury,,,,9/5/2010
2010,Buccaneers,,• Jonathan Compas,placed on ir with undisclosed injury,,,,9/5/2010
2010,Cardinals,,• Alfonso Smith,placed on ir,,,,9/5/2010
2010,Cardinals,,• Chris Johnson (c),placed on ir,,,,9/5/2010
2010,Cardinals,,• Mark Washington (b. 1985-08-20),placed on ir,,,,9/5/2010
2010,Chargers,,• Richie Brockel,placed on ir,,,,9/5/2010
2010,Colts,,• Glenn Sharpe,placed on ir,,,,9/5/2010
2010,Colts,,• James Williams (g),placed on ir,,,,9/5/2010
2010,Colts,,• Taj Smith,placed on ir,,,,9/5/2010
2010,Dolphins,,• Will Allen (D.),placed on ir with left knee injury,,,,9/5/2010
2010,Falcons,,• Brandyn Harvey,placed on ir,,,,9/5/2010
2010,Giants,,• Alex Hall,placed on ir with shoulder injury,,,,9/5/2010
2010,Giants,,• Courtney Brown (Leonard),placed on ir with ankle injury,,,,9/5/2010
2010,Lions,,• Korey Bosworth,placed on ir,,,,9/5/2010
2010,Packers,,• Allen Barbre,placed on ir with back injury,,,,9/5/2010
2010,Panthers,,• Jamie Petrowski,placed on ir,,,,9/5/2010
2010,Patriots,,• George Bussey,placed on ir,,,,9/5/2010
2010,Raiders,,• Alex Daniels,placed on ir with undisclosed injury,,,,9/5/2010
2010,Raiders,,• Jay Richardson,placed on ir with knee injury,,,,9/5/2010
2010,Raiders,,• Joey Thomas,placed on ir with concussion,,,,9/5/2010
2010,Redskins,,• Clint Oldenburg,placed on ir,,,,9/5/2010
2010,Redskins,,• Robert Henson,placed on ir,,,,9/5/2010
2010,Steelers,,• Renauld Williams,placed on ir,,,,9/5/2010
2010,Texans,,• Derek Fine,placed on ir,,,,9/5/2010
2010,Texans,,• Jeremiah Johnson,placed on ir,,,,9/5/2010
2010,Colts,,• Tony Ugoh,placed on ir with toe injury,,,,9/9/2010
2010,Jets,,• Kevin O'Connell,placed on ir,,,,9/9/2010
2010,Bills,,• Kawika Mitchell,placed on ir with foot injury,,,,9/10/2010
2010,Jaguars,,• Jarett Dillard,placed on ir with left foot/toe injury,,,,9/11/2010
2010,Bears,,• Hunter Hillenmeyer,placed on ir with concussion,,,,9/14/2010
2010,Eagles,,• Jamaal Jackson,placed on ir with torn triceps in right arm (out for season),,,,9/14/2010
2010,Eagles,,• Leonard Weaver,placed on ir with torn acl in left knee (out for season),,,,9/14/2010
2010,Lions,,• Aaron Berry,placed on ir with right shoulder injury,,,,9/14/2010
2010,Packers,,• Justin Harrell,placed on ir with torn acl in left knee,,,,9/14/2010
2010,Packers,,• Ryan Grant (Brett),placed on ir with ankle injury,,,,9/14/2010
2010,Seahawks,,• Max Unger,placed on ir with left toe injury,,,,9/14/2010
2010,Texans,,• Connor Barwin,placed on ir with right ankle injury,,,,9/14/2010
2010,Chargers,,• David Binn,placed on ir with hamstring injury,,,,9/15/2010
2010,Chiefs,,• Cameron Sheffield,placed on ir with neck injury,,,,9/15/2010
2010,Jets,,• Kris Jenkins,placed on ir with torn acl in left knee,,,,9/15/2010
2010,Panthers,,• Todd Carter,placed on ir,,,,9/15/2010
2010,Rams,,• Josh Hull,placed on ir with torn acl in left knee,,,,9/15/2010
2010,Chargers,,• James Dearth,placed on ir with foot injury,,,,9/17/2010
2010,Panthers,,• Charly Martin,placed on ir with concussion,,,,9/17/2010
2010,Browns,,• Kaluka Maiava,placed on ir with right leg injury,,,,9/21/2010
2010,Falcons,,• Jerious Norwood,placed on ir with knee injury,,,,9/21/2010
2010,Jaguars,,• Luke McCown,placed on ir with torn acl in knee,,,,9/21/2010
2010,Jaguars,,• Scotty McGee,placed on ir with shoulder injury,,,,9/22/2010
2010,Patriots,,• Kevin Faulk,placed on ir with torn acl in right knee,,,,9/22/2010
2010,Browns,,• D'Qwell Jackson,placed on ir with pectoral muscle injury,,,,9/25/2010
2010,Colts,,• Ramon Humber,placed on ir with hand injury,,,,9/27/2010
2010,Cowboys,,• Deon Anderson,placed on ir,,,,9/27/2010
2010,Rams,,• Dominique Curry,placed on ir with torn acl in right knee,,,,9/27/2010
2010,Giants,,• Michael Johnson (Derrick),placed on ir with back injury,,,,9/28/2010
2010,Chargers,,• James Holt (b),placed on ir with shoulder injury,,,,9/29/2010
2010,Chargers,,• Ryan Neill,placed on ir with knee injury,,,,9/29/2010
2010,Seahawks,,• LeRoy Hill,placed on ir with achilles tendon / calf injury,,,,10/1/2010
2010,Steelers,,• Dennis Dixon,placed on ir with left knee injury,,,,10/2/2010
2010,Chargers,,• Jyles Tucker,placed on ir with pectoral injury,,,,10/5/2010
2010,Colts,,• Devin Moore,placed on ir with neck injury,,,,10/5/2010
2010,Colts,,• Melvin Bullitt,placed on ir with shoulder injury,,,,10/5/2010
2010,Saints,,• Chris Reis,placed on ir with shoulder injury,,,,10/5/2010
2010,Rams,,• Marquis Johnson,placed on ir with knee injury,,,,10/6/2010
2010,Dolphins,,• Lionel Dotson,placed on ir,,,,10/7/2010
2010,Packers,,• Morgan Burnett,placed on ir with knee injury,,,,10/7/2010
2010,Redskins,,• Josh Bidwell,placed on ir with right hip injury,,,,10/7/2010
2010,Titans,,• Derrick Morgan,placed on ir with torn acl in left knee,,,,10/7/2010
2010,Rams,,• Mark Clayton (Jermaine),placed on ir with torn patellar tendon in right knee,,,,10/11/2010
2010,Patriots,,• Nick Kaczur,placed on ir with back injury,,,,10/12/2010
2010,Rams,,• Darcy Johnson,placed on ir with concussion,,,,10/12/2010
2010,Chargers,,• Shawne Merriman,placed on ir with calf injury,,,,10/13/2010
2010,Packers,,• Derrick Martin (Jerome),placed on ir with knee injury,,,,10/13/2010
2010,Titans,,• Colin Allred,placed on ir with neck injury,,,,10/13/2010
2010,Vikings,,• Cedric Griffin,placed on ir with torn acl in right knee,,,,10/13/2010
2010,Lions,,• Spencer Havner,placed on ir with hamstring injury,,,,10/15/2010
2010,Giants,,• Victor Cruz,placed on ir with hamstring injury,,,,10/16/2010
2010,Packers,,• Nick Barnett,placed on ir with wrist injury,,,,10/17/2010
2010,Packers,,• Jermichael Finley,placed on ir with right knee injury,,,,10/18/2010
2010,49ers,,• Curtis Taylor,placed on ir with quadriceps injury,,,,10/19/2010
