player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score
calvin ridley,calvin ridley,2024,calvin ridley,2019,100.0
rashod bateman,rashod bateman,2024,rashod bateman,2021,100.0
rashod bateman,rashod bateman,2024,rashod bateman,2022,100.0
will dissly,will dissly,2024,will dissly,2018,100.0
will dissly,will dissly,2024,will dissly,2019,100.0
will dissly,will dissly,2024,will dissly,2022,100.0
kyle pitts,kyle pitts,2024,kyle pitts,2022,100.0
courtland sutton,courtland sutton,2024,courtland sutton,2020,100.0
jerry jeudy,jerry jeudy,2024,jerry jeudy,2021,100.0
hunter henry,hunter henry,2024,hunter henry,2017,100.0
hunter henry,hunter henry,2024,hunter henry,2023,100.0
dallas goedert,dallas goedert,2024,dallas goedert,2020,100.0
dallas goedert,dallas goedert,2024,dallas goedert,2022,100.0
david moore,david moore,2024,david moore,2022,100.0
mack hollins,mack hollins,2024,mack hollins,2018,100.0
justin jefferson,justin jefferson,2024,justin jefferson,2023,100.0
deebo samuel sr.,deebo samuel,2024,deebo samuel,2020,100.0
aj brown,aj brown,2024,aj brown,2021,100.0
deandre hopkins,deandre hopkins,2024,deandre hopkins,2021,100.0
george kittle,george kittle,2024,george kittle,2020,100.0
george kittle,george kittle,2024,george kittle,2021,100.0
allen lazard,allen lazard,2024,allen lazard,2020,100.0
nico collins,nico collins,2024,nico collins,2021,100.0
nico collins,nico collins,2024,nico collins,2022,100.0
diontae johnson,diontae johnson,2024,diontae johnson,2023,100.0
mark andrews,mark andrews,2024,mark andrews,2023,100.0
