player_season_name,season_ps,ir_name,season_ir,fuzzy_score
darius slayton,2024,adarius glanton,2017,82.75862069
jordan reed,2018,reggie jordan,2014,83.33333333
stefon diggs,2018,trevon diggs,2020,83.33333333
stefon diggs,2018,trevon diggs,2023,83.33333333
stefon diggs,2018,trevon diggs,2024,83.33333333
jordy nelson,2018,corey nelson,2017,83.33333333
jordy nelson,2018,corey nelson,2019,83.33333333
john brown,2018,jonathan brown,2016,83.33333333
mark andrews,2018,jake andrews,2024,83.33333333
mike williams,2018,mike willie,2013,83.33333333
mark andrews,2019,jake andrews,2024,83.33333333
jordan akins,2019,jordan evans,2018,83.33333333
jordan akins,2019,jordan evans,2021,83.33333333
jordan akins,2019,jordan davis,2022,83.33333333
mike williams,2019,mike willie,2013,83.33333333
john brown,2019,jonathan brown,2016,83.33333333
stefon diggs,2019,trevon diggs,2020,83.33333333
stefon diggs,2019,trevon diggs,2023,83.33333333
stefon diggs,2019,trevon diggs,2024,83.33333333
mark andrews,2020,jake andrews,2024,83.33333333
jordan reed,2020,reggie jordan,2014,83.33333333
mike williams,2020,mike willie,2013,83.33333333
stefon diggs,2020,trevon diggs,2020,83.33333333
stefon diggs,2020,trevon diggs,2023,83.33333333
stefon diggs,2020,trevon diggs,2024,83.33333333
jordan akins,2020,jordan evans,2018,83.33333333
jordan akins,2020,jordan evans,2021,83.33333333
jordan akins,2020,jordan davis,2022,83.33333333
john brown,2020,jonathan brown,2016,83.33333333
mark andrews,2021,jake andrews,2024,83.33333333
devonta smith,2021,devin smith,2014,83.33333333
devonta smith,2021,devin smith,2015,83.33333333
devonta smith,2021,devin smith,2017,83.33333333
devonta smith,2021,devin smith,2021,83.33333333
tyler johnson,2021,tyler jones,2019,83.33333333
mike williams,2021,mike willie,2013,83.33333333
bryan edwards,2021,ben edwards,2015,83.33333333
bryan edwards,2021,ben edwards,2016,83.33333333
stefon diggs,2021,trevon diggs,2020,83.33333333
stefon diggs,2021,trevon diggs,2023,83.33333333
stefon diggs,2021,trevon diggs,2024,83.33333333
devonta smith,2022,devin smith,2014,83.33333333
devonta smith,2022,devin smith,2015,83.33333333
devonta smith,2022,devin smith,2017,83.33333333
devonta smith,2022,devin smith,2021,83.33333333
mark andrews,2022,jake andrews,2024,83.33333333
jordan akins,2022,jordan evans,2018,83.33333333
jordan akins,2022,jordan evans,2021,83.33333333
jordan akins,2022,jordan davis,2022,83.33333333
mike williams,2022,mike willie,2013,83.33333333
stefon diggs,2022,trevon diggs,2020,83.33333333
stefon diggs,2022,trevon diggs,2023,83.33333333
stefon diggs,2022,trevon diggs,2024,83.33333333
devonta smith,2023,devin smith,2014,83.33333333
devonta smith,2023,devin smith,2015,83.33333333
devonta smith,2023,devin smith,2017,83.33333333
devonta smith,2023,devin smith,2021,83.33333333
stefon diggs,2023,trevon diggs,2020,83.33333333
stefon diggs,2023,trevon diggs,2023,83.33333333
stefon diggs,2023,trevon diggs,2024,83.33333333
mark andrews,2023,jake andrews,2024,83.33333333
stefon diggs,2024,trevon diggs,2020,83.33333333
stefon diggs,2024,trevon diggs,2023,83.33333333
stefon diggs,2024,trevon diggs,2024,83.33333333
devonta smith,2024,devin smith,2014,83.33333333
devonta smith,2024,devin smith,2015,83.33333333
devonta smith,2024,devin smith,2017,83.33333333
devonta smith,2024,devin smith,2021,83.33333333
mark andrews,2024,jake andrews,2024,83.33333333
jordan akins,2024,jordan evans,2018,83.33333333
jordan akins,2024,jordan evans,2021,83.33333333
jordan akins,2024,jordan davis,2022,83.33333333
keon coleman,2024,shon coleman,2019,83.33333333
keon coleman,2024,shon coleman,2021,83.33333333
tyrell williams,2018,darrell williams,2015,83.87096774
tyrell williams,2018,darrell williams,2016,83.87096774
tyrell williams,2019,darrell williams,2015,83.87096774
tyrell williams,2019,darrell williams,2016,83.87096774
jameson williams,2024,william jackson,2016,83.87096774
