player_season_name,season,ir_name,fuzzy_score
allen robinson,2019,alton robinson,85.71428571
tyrell williams,2019,trey williams,85.71428571
john brown,2019,jamon brown,85.71428571
john brown,2019,jaron brown,85.71428571
john brown,2019,jayon brown,85.71428571
corey davis,2020,cody davis,85.71428571
allen robinson,2020,alton robinson,85.71428571
mike williams,2020,madieu williams,85.71428571
mike williams,2020,damien williams,85.71428571
john brown,2020,jamon brown,85.71428571
john brown,2020,jaron brown,85.71428571
john brown,2020,jayon brown,85.71428571
irv smith,2020,irv smith jr,85.71428571
deonte harris,2021,davontae harris,85.71428571
allen robinson,2021,alton robinson,85.71428571
corey davis,2021,cody davis,85.71428571
mike williams,2021,madieu williams,85.71428571
mike williams,2021,damien williams,85.71428571
bryan edwards,2021,braylon edwards,85.71428571
deandre carter,2022,dewayne carter,85.71428571
corey davis,2022,cody davis,85.71428571
mike williams,2022,madieu williams,85.71428571
mike williams,2022,damien williams,85.71428571
allen robinson,2022,alton robinson,85.71428571
allen robinson,2023,alton robinson,85.71428571
jake ferguson,2023,parker ferguson,85.71428571
jalen coker,2024,jake coker,85.71428571
jake ferguson,2024,parker ferguson,85.71428571
deebo samuel sr.,2024,deebo samuel,85.71428571
jameson williams,2024,jalen williams,86.66666667
chris conley,2018,chris conte,86.95652174
chris conley,2019,chris conte,86.95652174
chris conley,2020,chris conte,86.95652174
demarcus robinson,2019,darius robinson,87.5
demarcus robinson,2020,darius robinson,87.5
demarcus robinson,2022,darius robinson,87.5
jameson williams,2024,james williams g,87.5
dj moore,2024,jd moore,87.5
dj moore,2024,cj moore,87.5
demarcus robinson,2024,darius robinson,87.5
steven sims,2019,steven sims jr,88
deonte harris,2021,dejon harris,88
willie snead,2018,willie snead iv,88.88888889
john ross,2018,josh ross,88.88888889
marvin jones,2018,marvin jones jr,88.88888889
marvin jones,2019,marvin jones jr,88.88888889
d.j. chark,2019,dj chark,88.88888889
john ross,2019,josh ross,88.88888889
willie snead,2019,willie snead iv,88.88888889
a.j. brown,2019,aj brown,88.88888889
marvin jones,2020,marvin jones jr,88.88888889
willie snead,2020,willie snead iv,88.88888889
d.j. chark,2020,dj chark,88.88888889
a.j. brown,2020,aj brown,88.88888889
deonte harris,2021,devante harris,88.88888889
marvin jones,2021,marvin jones jr,88.88888889
a.j. brown,2021,aj brown,88.88888889
marvin jones,2022,marvin jones jr,88.88888889
a.j. brown,2022,aj brown,88.88888889
d.j. chark,2022,dj chark,88.88888889
a.j. brown,2023,aj brown,88.88888889
d.j. chark,2023,dj chark,88.88888889
a.j. brown,2024,aj brown,88.88888889
odell beckham,2018,odell beckham jr,89.65517241
tyrell williams,2018,trill williams,89.65517241
odell beckham,2019,odell beckham jr,89.65517241
tyrell williams,2019,trill williams,89.65517241
odell beckham,2020,odell beckham jr,89.65517241
odell beckham,2021,odell beckham jr,89.65517241
t.y. hilton,2018,ty hilton,90
c.j. uzomah,2018,cj uzomah,90
o.j. howard,2018,oj howard,90
t.y. hilton,2019,ty hilton,90
o.j. howard,2019,oj howard,90
k.j. hamler,2020,kj hamler,90
t.y. hilton,2020,ty hilton,90
c.j. uzomah,2021,cj uzomah,90
christian kirk,2018,christian kirksey,90.32258065
allen robinson,2018,allen robinson ii,90.32258065
christian kirk,2019,christian kirksey,90.32258065
allen robinson,2019,allen robinson ii,90.32258065
christian kirk,2020,christian kirksey,90.32258065
allen robinson,2020,allen robinson ii,90.32258065
allen robinson,2021,allen robinson ii,90.32258065
christian kirk,2021,christian kirksey,90.32258065
christian kirk,2022,christian kirksey,90.32258065
allen robinson,2022,allen robinson ii,90.32258065
allen robinson,2023,allen robinson ii,90.32258065
christian kirk,2023,christian kirksey,90.32258065
christian kirk,2024,christian kirksey,90.32258065
chris hogan,2018,chris hovan,90.90909091
ian thomas,2018,ian thomas c,90.90909091
phillip dorsett,2019,phillip dorsett ii,90.90909091
michael pittman,2020,michael pittman jr,90.90909091
michael pittman,2021,michael pittman jr,90.90909091
michael pittman,2022,michael pittman jr,90.90909091
michael pittman,2023,michael pittman jr,90.90909091
