player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score,number
richie james,richie james,2022,richie james,2020,100.0,2
richie james,richie james,2022,richie james,2021,100.0,2
isaiah hodgins,isaiah hodgins,2022,isaiah hodgins,2020,100.0,1
deebo samuel,deebo samuel,2022,deebo samuel,2020,100.0,1
chris godwin,chris godwin,2022,chris godwin,2020,100.0,2
chris godwin,chris godwin,2022,chris godwin,2021,100.0,2
olamide zaccheaus,olamide zaccheaus,2022,olamide zaccheaus,2020,100.0,1
corey davis,corey davis,2022,corey davis,2021,100.0,1
mack hollins,mack hollins,2022,mack hollins,2018,100.0,1
robert tonyan,robert tonyan,2022,robert tonyan,2021,100.0,1
michael pittman,michael pittman,2022,michael pittman,2020,100.0,1
parris campbell,parris campbell,2022,parris campbell,2019,100.0,3
parris campbell,parris campbell,2022,parris campbell,2020,100.0,3
parris campbell,parris campbell,2022,parris campbell,2021,100.0,3
cooper kupp,cooper kupp,2022,cooper kupp,2018,100.0,1
jerry jeudy,jerry jeudy,2022,jerry jeudy,2021,100.0,1
christian kirk,christian kirk,2022,christian kirk,2018,100.0,1
marquez valdes-scantling,marquez valdes-scantling,2022,marquez valdes-scantling,2021,100.0,1
travis kelce,travis kelce,2022,travis kelce,2013,100.0,1
tj hockenson,tj hockenson,2022,tj hockenson,2019,100.0,2
tj hockenson,tj hockenson,2022,tj hockenson,2021,100.0,2
dallas goedert,dallas goedert,2022,dallas goedert,2020,100.0,1
aj green,aj green,2022,aj green,2016,100.0,3
aj green,aj green,2022,aj green,2018,100.0,3
aj green,aj green,2022,aj green,2019,100.0,3
elijah moore,elijah moore,2022,elijah moore,2021,100.0,1
chris moore,chris moore,2022,chris moore,2020,100.0,1
michael gallup,michael gallup,2022,michael gallup,2021,100.0,1
keenan allen,keenan allen,2022,keenan allen,2015,100.0,2
keenan allen,keenan allen,2022,keenan allen,2016,100.0,2
adam thielen,adam thielen,2022,adam thielen,2021,100.0,1
hayden hurst,hayden hurst,2022,hayden hurst,2021,100.0,1
randall cobb,randall cobb,2022,randall cobb,2013,100.0,3
randall cobb,randall cobb,2022,randall cobb,2020,100.0,3
randall cobb,randall cobb,2022,randall cobb,2021,100.0,3
nico collins,nico collins,2022,nico collins,2021,100.0,1
marvin jones,marvin jones,2022,marvin jones,2014,100.0,3
marvin jones,marvin jones,2022,marvin jones,2018,100.0,3
marvin jones,marvin jones,2022,marvin jones,2019,100.0,3
courtland sutton,courtland sutton,2022,courtland sutton,2020,100.0,1
tyler higbee,tyler higbee,2022,tyler higbee,2021,100.0,1
mike evans,mike evans,2022,mike evans,2019,100.0,1
juju smith-schuster,juju smith-schuster,2022,juju smith-schuster,2021,100.0,1
hunter henry,hunter henry,2022,hunter henry,2017,100.0,1
aj brown,aj brown,2022,aj brown,2021,100.0,1
george kittle,george kittle,2022,george kittle,2020,100.0,2
george kittle,george kittle,2022,george kittle,2021,100.0,2
dj chark,dj chark,2022,dj chark,2021,100.0,1
logan thomas,logan thomas,2022,logan thomas,2021,100.0,1
mike williams,mike williams,2022,mike williams,2011,100.0,3
mike williams,mike williams,2022,mike williams,2013,100.0,3
mike williams,mike williams,2022,mike williams,2014,100.0,3
foster moreau,foster moreau,2022,foster moreau,2019,100.0,1
allen lazard,allen lazard,2022,allen lazard,2020,100.0,1
david njoku,david njoku,2022,david njoku,2019,100.0,2
david njoku,david njoku,2022,david njoku,2020,100.0,2
zach ertz,zach ertz,2022,zach ertz,2020,100.0,1
terrace marshall,terrace marshall,2022,terrace marshall,2021,100.0,1
tyler boyd,tyler boyd,2022,tyler boyd,2018,100.0,1
allen robinson,allen robinson,2022,allen robinson,2014,100.0,2
allen robinson,allen robinson,2022,allen robinson,2017,100.0,2
devante parker,devante parker,2022,devante parker,2021,100.0,1
rondale moore,rondale moore,2023,rondale moore,2022,100.0,1
jerry jeudy,jerry jeudy,2023,jerry jeudy,2021,100.0,1
elijah moore,elijah moore,2023,elijah moore,2021,100.0,1
cooper kupp,cooper kupp,2023,cooper kupp,2018,100.0,2
cooper kupp,cooper kupp,2023,cooper kupp,2022,100.0,2
robert woods,robert woods,2023,robert woods,2015,100.0,2
robert woods,robert woods,2023,robert woods,2021,100.0,2
juju smith-schuster,juju smith-schuster,2023,juju smith-schuster,2021,100.0,1
chris godwin,chris godwin,2023,chris godwin,2020,100.0,2
chris godwin,chris godwin,2023,chris godwin,2021,100.0,2
curtis samuel,curtis samuel,2023,curtis samuel,2017,100.0,2
curtis samuel,curtis samuel,2023,curtis samuel,2021,100.0,2
keenan allen,keenan allen,2023,keenan allen,2015,100.0,2
keenan allen,keenan allen,2023,keenan allen,2016,100.0,2
